,title,vote_count,vote_average,release_date,original_language
0,Minions: The Rise of Gru,333,7.6,2022-06-29,en
1,Jurassic World Dominion,1298,6.8,2022-06-01,en
2,Doctor Strange in the Multiverse of Madness,4415,7.5,2022-05-04,en
3,Lightyear,526,7.1,2022-06-15,en
4,Top Gun: Maverick,1556,8.4,2022-05-24,en
5,Thor: Love and Thunder,858,6.9,2022-07-06,en
6,The Princess,112,6.3,2022-06-16,en
7,The Black Phone,443,7.6,2022-06-22,en
8,The Ledge,55,6.4,2022-02-18,en
9,Sonic the Hedgehog 2,2474,7.7,2022-03-30,en
10,Spider-Man: No Way Home,14121,8.1,2021-12-15,en
11,Fantastic Beasts: The Secrets of Dumbledore,2233,6.8,2022-04-06,en
12,Jujutsu Kaisen 0,215,7.9,2021-12-24,ja
13,The Lost City,1488,6.8,2022-03-24,en
14,Dog,611,7.4,2022-02-17,en
15,Dragon Ball Super: Super Hero,69,8.0,2022-06-11,ja
16,Morbius,2044,6.4,2022-03-30,en
17,Turning Red,2710,7.5,2022-03-10,en
18,Centauro,65,6.5,2022-06-15,es
19,Memory,496,7.3,2022-04-28,en
20,The Man from Toronto,344,6.2,2022-06-24,en
21,The Northman,1848,7.2,2022-04-07,en
22,Collision,81,5.9,2022-06-16,en
23,American Sicario,49,6.0,2021-12-10,en
24,9 Bullets,34,6.2,2022-04-14,en
25,Shark Bait,76,6.7,2022-05-13,en
26,Uncharted,2727,7.2,2022-02-10,en
27,The Batman,5530,7.8,2022-03-01,en
28,Spiderhead,646,5.8,2022-06-15,en
29,Sword Art Online the Movie -Progressive- Aria of a Starless Night,39,8.7,2021-10-30,ja
30,Encanto,6933,7.7,2021-11-24,en
31,The Desperate Hour,171,6.2,2021-09-12,en
32,Padre no hay más que uno 3,1,10.0,2022-07-15,es
33,The Exorcism of God,307,7.1,2022-03-11,en
34,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2545,8.4,2020-10-16,ja
35,The Unbearable Weight of Massive Talent,464,7.0,2022-04-20,en
36,Hot Seat,12,7.0,2022-07-01,en
37,Panama,60,6.0,2022-03-17,en
38,WarHunt,35,5.4,2022-01-21,en
39,The Bad Guys,790,7.8,2022-03-17,en
40,Hustle,1096,7.9,2022-06-03,en
41,Father There Is Only One 3,3,7.3,2022-07-15,es
42,Thor,18431,6.8,2011-04-21,en
43,The Wrath of God,91,6.5,2022-06-15,es
44,Hotel Transylvania: Transformania,1067,7.1,2022-02-25,en
45,See for Me,81,6.3,2022-01-07,en
46,My Hero Academia: World Heroes' Mission,217,7.6,2021-08-06,ja
47,A Day to Die,105,6.3,2022-03-04,en
48,The Contractor,389,6.5,2022-03-10,en
49,Larva Pendant,49,7.2,2022-05-25,ko
50,Moonfall,1454,6.5,2022-02-03,en
51,Beyond Infinity: Buzz and the Journey to Lightyear,172,7.1,2022-06-10,en
52,Interceptor,386,6.1,2022-05-26,en
53,Chickenhare and the Hamster of Darkness,122,7.6,2022-02-16,en
54,Bubble,178,7.5,2022-02-14,ja
55,Father There Is Only One,445,7.6,2019-08-02,es
56,Clean,159,6.6,2022-01-28,en
57,Father There Is Only One 3,0,0.0,,es
58,Titanic 666,42,5.6,2022-04-15,en
59,Last Seen Alive,129,6.6,2022-05-19,en
60,Veneciafrenia,85,5.9,2022-04-21,es
61,Venom: Let There Be Carnage,7635,7.0,2021-09-30,en
62,The Sea Beast,202,7.6,2022-06-24,en
63,Sing 2,2947,8.1,2021-12-01,en
64,The Grandmother,204,5.9,2022-01-28,es
65,Father There Is Only One 2,337,7.4,2020-07-29,es
66,¿Y cómo es él?,77,7.2,2022-04-07,es
67,The Seven Deadly Sins: Cursed by Light,361,7.9,2021-07-02,ja
68,Thor: Ragnarok,17891,7.6,2017-10-24,en
69,The Jack in the Box: Awakening,56,6.0,2022-02-24,en
70,Moonbound,40,6.0,2021-06-24,de
71,Resident Evil: Welcome to Raccoon City,1700,6.1,2021-11-24,en
72,The Ice Age Adventures of Buck Wild,1284,6.8,2022-01-28,en
73,The Boss Baby: Family Business,1985,7.5,2021-07-01,en
74,Superwho?,163,6.1,2022-02-02,fr
75,Fireheart,118,7.6,2022-01-16,en
76,Thor: The Dark World,15050,6.6,2013-10-30,en
77,Gasoline Alley,58,5.4,2022-02-25,en
78,Dark Cloud,38,6.5,2022-05-09,en
79,The Last Zombie,2,6.0,2021-12-02,es
80,Chip 'n Dale: Rescue Rangers,640,7.1,2022-05-18,en
81,Dragon Ball Z: Resurrection 'F',1414,6.8,2015-04-18,ja
82,Heatwave,37,7.3,2022-01-17,en
83,Gatlopp: Hell of a Game,9,5.3,2022-06-27,en
84,The Outfit,313,7.1,2022-02-25,en
85,King Tweety,30,7.5,2022-06-13,en
86,365 Days: This Day,606,5.8,2022-04-27,en
87,"Hello, Goodbye, and Everything in Between",48,5.8,2022-07-06,en
88,King,51,6.8,2022-02-16,fr
89,The Bob's Burgers Movie,69,7.3,2022-05-26,en
90,The Wonderful Summer of Mickey Mouse,3,6.7,2022-07-08,en
91,Dos más dos,23,6.7,2022-03-31,es
92,Shang-Chi and the Legend of the Ten Rings,6803,7.7,2021-09-01,en
93,Unhuman,19,5.7,2022-06-03,en
94,Eternals,5894,7.1,2021-11-03,en
95,The Nights Belong to Monsters,2,6.0,2021-10-09,es
96,Virus:32,100,7.3,2022-04-21,es
97,Blacklight,488,6.2,2022-02-10,en
98,Avengers: Infinity War,24930,8.3,2018-04-25,en
99,Clifford the Big Red Dog,1321,7.3,2021-11-10,en
100,Dakota,9,5.7,2022-04-01,en
101,The Takedown,278,6.0,2022-05-06,fr
102,Teen Titans Go! & DC Super Hero Girls: Mayhem in the Multiverse,46,7.1,2022-05-23,en
103,Snotty Boy,4,5.9,2022-01-13,de
104,Top Gun,6029,7.0,1986-05-16,en
105,Vendetta,18,5.9,2022-05-17,en
106,The Trip 6,54,7.2,2021-12-25,es
107,Brothers,2307,7.2,2009-01-22,en
108,The Valet,271,7.8,2022-05-11,en
109,Jurassic World,18224,6.7,2015-06-06,en
110,Ambulance,922,6.9,2022-03-16,en
111,No Exit,604,6.9,2022-02-25,en
112,Father Stu,186,7.6,2022-04-13,en
113,Ghostbusters: Afterlife,2956,7.6,2021-11-11,en
114,After We Fell,1771,7.2,2021-09-01,en
115,Legend,3040,7.0,2015-09-09,en
116,The Requin,148,4.6,2022-01-28,en
117,Cruella,7250,8.2,2021-05-26,en
118,Scream,1472,6.8,2022-01-12,en
119,Jerry & Marge Go Large,47,7.0,2022-06-15,en
120,Last Man Down,507,6.3,2021-10-19,en
121,En la mira,4,6.3,2022-04-28,es
122,Jurassic World: Fallen Kingdom,10034,6.6,2018-06-06,en
123,Elvis,447,7.7,2022-06-22,en
124,Mortal Kombat,4754,7.2,2021-04-07,en
125,Red Notice,3843,6.8,2021-11-04,en
126,The Passenger,6,7.6,2022-06-03,es
127,Rise,72,7.1,2022-06-23,en
128,Incantation,69,7.8,2022-03-18,zh
129,After Ever Happy,0,0.0,2022-08-25,en
130,The Simpsons in Plusaversary,306,6.6,2021-11-12,en
131,Luca,6461,7.9,2021-06-17,en
132,Texas Chainsaw Massacre,840,5.2,2022-02-18,en
133,Heart Parade,30,5.7,2022-06-15,pl
134,Female Doctor: Flesh Slave,3,1.7,1986-03-08,ja
135,Naruto Shippuden the Movie,452,7.2,2007-08-04,ja
136,Yaksha: Ruthless Operations,99,6.2,2022-04-08,ko
137,The Adam Project,2631,7.1,2022-03-11,en
138,Dragon Ball Z: Battle of Gods,1232,6.8,2013-03-30,ja
139,Fire Island,67,6.9,2022-06-09,en
140,Bull Shark,35,5.4,2022-02-05,en
141,The Matrix Resurrections,3905,6.7,2021-12-16,en
142,The King's Man,2934,6.9,2021-12-22,en
143,Life in a Year,1082,8.3,2020-11-27,en
144,Everything Everywhere All at Once,962,8.3,2022-03-24,en
145,Avatar,25694,7.5,2009-12-10,en
146,PAW Patrol: The Movie,970,7.5,2021-08-09,en
147,Minions,9352,6.4,2015-06-17,en
148,Hacksaw Ridge,11127,8.2,2016-10-07,en
149,Free Guy,5964,7.7,2021-08-11,en
150,Dragon Ball Z: Broly – The Legendary Super Saiyan,656,7.2,1993-03-06,ja
151,The Suicide Squad,6359,7.6,2021-07-28,en
152,Dual,82,6.3,2022-03-18,en
153,Girl in the Picture,60,7.2,2022-07-06,en
154,Kimi,458,6.3,2022-02-10,en
155,Top Gun : les coulisses du grand retour,3,5.7,2022-05-19,fr
156,Fortress: Sniper's Eye,87,6.1,2022-04-29,en
157,What a Father!,98,8.3,2022-02-09,es
158,Zack Snyder's Justice League,7901,8.3,2021-03-18,en
159,Boruto: Naruto the Movie,1053,7.6,2015-08-07,ja
160,"Miraculous World: New York, United HeroeZ",910,8.2,2020-09-25,fr
161,My Fake Boyfriend,52,6.4,2022-06-10,en
162,Miraculous World: Shanghai – The Legend of Ladydragon,454,7.9,2021-05-15,fr
163,Belle,372,8.0,2021-07-16,ja
164,Big Hero 6,13756,7.8,2014-10-24,en
165,Black Widow,7825,7.4,2021-07-07,en
166,After We Collided,4613,7.3,2020-09-02,en
167,Z-O-M-B-I-E-S 3,11,7.5,2022-07-09,en
168,Tom and Jerry Cowboy Up!,355,6.9,2022-01-24,en
169,After,7130,7.2,2019-04-11,en
170,The Conjuring: The Devil Made Me Do It,4519,7.6,2021-05-25,en
171,The House,664,7.0,2022-01-14,en
172,The Avengers,27181,7.7,2012-04-25,en
173,Chernobyl: Abyss,378,6.2,2021-04-15,ru
174,Through My Window,2087,7.5,2022-02-04,es
175,The Tomorrow War,5585,8.0,2021-07-02,en
176,The Croods: A New Age,3019,7.6,2020-11-25,en
177,F9,5503,7.3,2021-05-19,en
178,Mobile Suit Gundam Hathaway,91,7.5,2021-06-11,ja
179,Furry Friends Forever: Elmo Gets a Puppy,3,7.3,2021-08-05,en
180,Raya and the Last Dragon,5429,8.0,2021-03-03,en
181,Avengers: Endgame,21362,8.3,2019-04-24,en
182,Coraline,5877,7.8,2009-02-05,en
183,Senior Year,451,5.9,2022-05-11,en
184,Sing a Bit of Harmony,5,8.0,2021-10-29,ja
185,Harry Potter and the Philosopher's Stone,22865,7.9,2001-11-16,en
186,Silverton Siege,80,6.6,2022-04-27,en
187,Irmão do Jorel: Especial Carnaval Bruttal,2,6.0,2022-02-25,pt
188,Godzilla vs. Kong,8048,7.8,2021-03-24,en
189,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon,14,6.4,2021-07-30,ja
190,The Addams Family 2,890,7.1,2021-10-01,en
191,Pil's Adventures,96,6.8,2021-08-11,fr
192,Space Jam: A New Legacy,3202,7.0,2021-07-08,en
193,The Last: Naruto the Movie,1194,7.8,2014-12-06,ja
194,Restless,267,6.0,2022-02-25,fr
195,The School of the Magical Animals,22,6.0,2021-10-14,de
196,Fistful of Vengeance,191,5.4,2022-02-17,en
197,Friend Couples: Swapping,0,0.0,2017-02-14,ko
198,Doctor Strange,19352,7.4,2016-10-25,en
199,Despicable Me,13215,7.2,2010-07-08,en
200,The Witch: Part 2. The Other One,6,8.2,2022-06-15,ko
201,Dragon Ball GT: A Hero's Legacy,243,6.7,1997-03-26,ja
202,The Last Warrior: Root of Evil,110,7.1,2021-01-01,ru
203,Ron's Gone Wrong,1319,8.1,2021-10-15,en
204,Harry Potter and the Chamber of Secrets,18425,7.7,2002-11-13,en
205,The Fallout,272,7.5,2022-01-28,en
206,The SpongeBob Movie: Sponge on the Run,2481,7.6,2020-08-14,en
207,Avengers: Age of Ultron,20056,7.3,2015-04-22,en
208,Dark Blood,8,5.5,2021-09-05,en
209,Deathstroke: Knights & Dragons - The Movie,355,6.9,2020-08-04,en
210,Pirates of the Caribbean: On Stranger Tides,12109,6.5,2011-05-14,en
211,Diary of a Wimpy Kid,241,6.5,2021-12-03,en
212,Gold,326,6.4,2022-01-13,en
213,War of the Worlds: Annihilation,53,5.2,2021-12-22,en
214,Toy Story,15576,8.0,1995-10-30,en
215,Harry Potter and the Prisoner of Azkaban,18121,8.0,2004-05-31,en
216,Kama Sutra: A Tale of Love,124,5.6,1996-09-11,en
217,Despicable Me 2,9834,6.9,2013-06-26,en
218,The Commando,78,6.2,2022-01-07,en
219,Dune,7299,7.9,2021-09-15,en
220,The Unholy,1671,6.8,2021-03-31,en
221,All the Old Knives,303,6.0,2022-04-08,en
222,Jungle Cruise,4421,7.5,2021-07-28,en
223,My Hero Academia: Heroes Rising,938,8.3,2019-12-20,ja
224,Looop Lapeta,46,6.2,2022-02-04,hi
225,The In Between,358,7.2,2022-02-11,en
226,"Monsters, Inc.",15663,7.8,2001-11-01,en
227,Queen of Spades,60,6.7,2021-06-11,en
228,No Time to Die,4333,7.5,2021-09-29,en
229,The Sadness,227,6.8,2021-01-22,zh
230,Redeeming Love,88,7.9,2022-01-21,en
231,Snake Eyes: G.I. Joe Origins,1170,6.7,2021-06-26,en
232,Black Crab,516,6.3,2022-03-18,sv
233,Coco,15880,8.2,2017-10-27,en
234,Don't Breathe 2,1733,7.3,2021-08-12,en
235,Infinite,1113,6.7,2021-09-09,en
236,Me Before You,10262,7.9,2016-06-01,en
237,A Perfect Pairing,234,6.8,2022-05-19,en
238,Jurassic World Dominion: The Prologue,7,7.8,2021-06-25,en
239,Interstellar,28836,8.4,2014-11-05,en
240,One Punch Man: Road to Hero,125,8.1,2015-12-04,ja
241,Finch,2417,8.1,2021-11-04,en
242,In Time,9674,7.0,2011-10-27,en
243,Cyber Hell: Exposing an Internet Horror,44,7.1,2022-05-17,ko
244,"Yes, No, or Maybe Half?",27,7.2,2020-12-11,ja
245,Deadpool,26975,7.6,2016-02-09,en
246,Crush,192,7.6,2022-04-29,en
247,Nightmare Alley,1817,7.0,2021-12-02,en
248,Ciao Alberto,500,7.5,2021-11-12,en
249,Army of Thieves,1365,6.9,2021-10-27,en
250,Toy Story 2,11735,7.6,1999-10-30,en
251,Harry Potter and the Half-Blood Prince,16309,7.7,2009-07-07,en
252,Doula,8,5.0,2022-04-21,en
253,Ripper Untold,98,6.4,2021-06-28,en
254,The Help,6484,8.2,2011-08-09,en
255,The Hunting,25,5.0,2022-01-21,en
256,Harry Potter and the Deathly Hallows: Part 2,17432,8.1,2011-07-07,en
257,It Chapter Two,7042,6.9,2019-09-04,en
258,Shrek,14043,7.7,2001-05-18,en
259,Harry Potter and the Goblet of Fire,17423,7.8,2005-11-16,en
260,Wrath of Man,3756,7.7,2021-04-22,en
261,The Twilight Saga: Eclipse,7575,6.2,2010-06-23,en
262,Roald Dahl's The Witches,2245,6.5,2020-10-25,en
263,Old,2820,6.5,2021-07-21,en
264,F*ck Love Too,49,6.0,2022-05-20,nl
265,A Quiet Place Part II,4495,7.6,2021-05-21,en
266,"Josee, the Tiger and the Fish",243,8.5,2020-12-25,ja
267,The Lion King,15487,8.3,1994-06-23,en
268,Marmaduke,34,6.1,2022-04-28,en
269,Harry Potter and the Deathly Hallows: Part 1,16178,7.8,2010-10-17,en
270,The Maze Runner,14750,7.2,2014-09-10,en
271,Charlie and the Chocolate Factory,12721,7.0,2005-07-13,en
272,El mundo es vuestro,15,5.0,2022-03-18,es
273,Orphan,4163,7.0,2009-07-24,en
274,Desperate Riders,43,6.0,2022-02-25,en
275,Tarumama,25,4.6,2021-07-29,es
276,The Conjuring,9518,7.5,2013-07-18,en
277,Dark Spell,106,6.7,2021-02-11,ru
278,Thor: God of Thunder,3,4.7,2022-07-08,en
279,Ice Age,11207,7.3,2002-03-10,en
280,Undisputed III: Redemption,649,7.5,2010-05-22,en
281,Sonic the Hedgehog,8164,7.4,2020-02-12,en
282,Glamour Girls,9,5.4,2022-06-24,en
283,Spider-Man: Homecoming,18813,7.4,2017-07-05,en
284,A Silent Voice: The Movie,3017,8.4,2016-09-17,ja
285,Dragon Ball Z: The World's Strongest,375,6.4,1990-03-10,ja
286,Brazen,263,4.9,2022-01-13,en
287,Dragon Ball Z: Wrath of the Dragon,513,7.2,1995-07-15,ja
288,Wonder Woman 1984,6921,6.6,2020-12-16,en
289,Frozen II,8284,7.3,2019-11-20,en
290,My Hero Academia: Two Heroes,776,8.0,2018-08-03,ja
291,Pirates of the Caribbean: At World's End,12229,7.2,2007-05-19,en
292,Monster Pets: A Hotel Transylvania Short,309,7.5,2021-04-02,en
293,Avatar: The Way of Water,0,0.0,2022-12-14,en
294,Naruto Shippuden the Movie: Blood Prison,377,7.2,2011-07-30,ja
295,Dragon Ball Z: Resurrection 'F - Future Trunks Special Edition,126,7.5,2016-08-10,ja
296,The Amazing Spider-Man,15064,6.7,2012-06-23,en
297,Spider-Man: Far From Home,12820,7.5,2019-06-28,en
298,I Don't Like Younger Men 4,1,2.0,2019-07-26,ko
299,Pokemon the Movie: Mewtwo Strikes Back - Evolution,387,6.7,2019-07-12,ja
300,The 355,531,6.1,2022-01-05,en
301,Shrek 2,10079,7.2,2004-05-19,en
302,The Wolf of Wall Street,19997,8.0,2013-12-25,en
303,Pirates of the Caribbean: The Curse of the Black Pearl,17673,7.8,2003-07-09,en
